Country,Name,FIFAManagerID,League,YearOF,City,LeagueLevel,,,,,,,,,,,
The Democratic Republic of the Congo,FC Tanganyika,0x006E3052,Vodacom Ligue 1,,,,,,,,,,,,,,
The Democratic Republic of the Congo, AF Anges Verts,0x006E3053,Vodacom Ligue 1,,,,,,,,,,,,,,
Namibia,KK Palace FC,0x00833030,MTC Namibia Premier League,,,,,,,,,,,,,,
Namibia, Cuca Tops FC,0x00833031,MTC Namibia Premier League,,,,,,,,,,,,,,
Rwanda,Vision FC,0x00863017,Azam Rwanda Premier League,,,,,,,,,,,,,,
Germany,SVT Bad Oldesloe,0x00153585,SPARE,,,,,,,,,,,,,,
Germany,SC Rönnau,0x00153586,SPARE,,,,,,,,,,,,,,
Germany,RB Obere Treene,0x00153587,SPARE,,,,,,,,,,,,,,
Germany,Hetlinger MTV,0x00153588,SPARE,,,,,,,,,,,,,,
Germany,ATSV Sebaldsbrück,0x00153589,SPARE,,,,,,,,,,,,,,
Germany,SV Union Salzgitter,0x0015358A,SPARE,,,,,,,,,,,,,,
Germany,SV Newroz Hildesheim,0x0015358B,SPARE,,,,,,,,,,,,,,
Germany,TSV Mühlenfeld,0x0015358C,SPARE,,,,,,,,,,,,,,
Germany,MTV Römstedt,0x0015358D,SPARE,,,,,,,,,,,,,,
Germany,SSC Dodesheide,0x0015358E,SPARE,,,,,,,,,,,,,,
Germany,SFN Vechta,0x0015358F,SPARE,,,,,,,,,,,,,,
Germany,Polar Pinguin,0x00153590,SPARE,,,,,,,,,,,,,,
Germany,SF Johannisthal,0x00154001,SPARE,,,,,,,,,,,,,,
Germany,BW Hohen Neuendorf,0x00153592,SPARE,,,,,,,,,,,,,,
Germany,VfB Merseburg,0x00153593,SPARE,,,,,,,,,,,,,,
Germany,SV Tapfer 06 Leipzig,0x00153594,SPARE,,,,,,,,,,,,,,
Germany,ESV Lok Zwickau,0x00153595,SPARE,,,,,,,,,,,,,,
Germany,SF Ostinghausen,0x00153596,SPARE,,,,,,,,,,,,,,
Germany,FSC Rheda,0x00153597,SPARE,,,,,,,,,,,,,,
Germany,SV Vestia Disteln,0x00153598,SPARE,,,,,,,,,,,,,,
Germany,FC Kosova Düsseldorf,0x00153599,SPARE,,,,,,,,,,,,,,
Germany,SSV Bergisch Born,0x0015359A,SPARE,,,,,,,,,,,,,,
Germany,DJK Südwest Köln,0x0015359B,SPARE,,,,,,,,,,,,,,
Germany,TuS Chlodwig Zülpich,0x0015359C,SPARE,,,,,,,,,,,,,,
Germany,SC Erkelenz,0x0015359D,SPARE,,,,,,,,,,,,,,
Germany,SG Aulatal,0x0015359E,SPARE,,,,,,,,,,,,,,
Germany,SV Hummetroth,0x0015359F,SPARE,,,,,,,,,,,,,,
Germany,VFR Groß-Gerau,0x001535A0,SPARE,,,,,,,,,,,,,,
Germany,SKV Beienheim,0x001535A1,SPARE,,,,,,,,,,,,,,
Germany,SG Vordereifel Müllenbach,0x001535A2,SPARE,,,,,,,,,,,,,,
Germany,SG Westerburg,0x001535A3,SPARE,,,,,,,,,,,,,,
Germany,VfB Bodenheim,0x001535A4,SPARE,,,,,,,,,,,,,,
Germany,FC Palatia Limbach,0x001535A5,SPARE,,,,,,,,,,,,,,
Germany,GU Türk. SV Pforzheim,0x001535A6,SPARE,,,,,,,,,,,,,,
Germany,VfB St. Leon,0x001535A7,SPARE,,,,,,,,,,,,,,
Germany,Türk. SV Singen,0x001535A8,SPARE,,,,,,,,,,,,,,
Germany,ESV Südstern Singen,0x001535A9,SPARE,,,,,,,,,,,,,,
Germany,Young Boys Reutlingen,0x001535AA,SPARE,,,,,,,,,,,,,,
Germany,VfR Heilbronn,0x001535AB,SPARE,,,,,,,,,,,,,,
Germany,FC Esslingen,0x001535AC,SPARE,,,,,,,,,,,,,,
Germany,TV Parsberg,0x001535AD,SPARE,,,,,,,,,,,,,,
Germany,FC Kosova Regensburg,0x001535AE,SPARE,,,,,,,,,,,,,,
Germany,SVG Steinachgrund,0x001535AF,SPARE,,,,,,,,,,,,,,
Germany,SV Lauterhofen,0x001535B0,SPARE,,,,,,,,,,,,,,
Germany,DJK Hain,0x001535B1,SPARE,,,,,,,,,,,,,,
Germany,TSV Schammelsdorf,0x001535B2,SPARE,,,,,,,,,,,,,,
Germany,TSV 1865 Murnau,0x001535B3,SPARE,,,,,,,,,,,,,,
Germany,FC Schwabing München,0x001535B4,SPARE,,,,,,,,,,,,,,
Germany,TSV Wertingen,0x001535B5,SPARE,,,,,,,,,,,,,,
Saint Lucia,Black Panthers SC,0x005A3022,SLFA First Division 2024,,,,,,,,,,,,,,
The Cayman Islands,345 FC,0x00473007,CIFA Men's Premier League,,,,,,,,,,,,,,
The Cayman Islands,Tigers FC,0x00473008,CIFA Men's Premier League,,,,,,,,,,,,,,
Aruba,SV Unistars,0x00403014,Division di Honor,,,,,,,,,,,,,,
Liberia,Black Man Warrior FC,0x007A3088,LFA-Cellcom First Division League,,,,,,,,,,,,,,
Liberia,Discoveries SA FC,0x007A3089,LFA-Cellcom First Division League,,,,,,,,,,,,,,
Serbia,FK Lipolist,0x00333213,Srpska liga Zapad,,,,,,,,,,,,,,
Serbia,Hajduk Divos,0x00333216,Srpska liga Vojvodina,,,,,,,,,,,,,,
Serbia,OFK Budućnost Dudovica,0x00333214,Srpska liga Beograd,,,,,,,,,,,,,,
Serbia,SU Dinamo Jug Vranje,0x00333215,Srpska liga Istok,,,,,,,,,,,,,,
Croatia,NK Radnicki Dalj,0x000A31D4,Treca nogometna liga Istok,,,,,,,,,,,,,,
Croatia,NK Vinogorac,0x000A31D5,Treca nogometna liga Istok,,,,,,,,,,,,,,
Hungary,Tiszaföldvár SE,0x001731CC,Nemzeti Bajnokság III - Délkeleti csoport,,,,,,,,,,,,,,
